name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date
Nusalink Near Trisakti 1,Jakarta Barat,Free Wifi,7.2,Sangat Baik,8,231.578,5,110.000,88,1,08-12-2021
Hotel Bintang Baru,Jakarta Pusat,Free Wifi,,,,305.263,5,290.000,232,1,08-12-2021
LeGreen Suite Supomo,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,52,463.157,5,218.240,174,1,08-12-2021
Zuri Express Mangga Dua,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,113,860.188,5,612.884,490,1,08-12-2021
OYO 90244 Hotel Antara,Jakarta Pusat,Free Wifi,6.6,Baik,5,294.173,5,217.983,174,1,08-12-2021
Liberty Hotel Thamrin ,Jakarta Pusat,Free Wifi,9.3,Istimewa,19,763.157,5,543.750,435,1,08-12-2021
Namora Residence by Ruang Nyaman,Jakarta Timur,Free Wifi,6.4,,6.4,423.070,5,241.150,192,1,08-12-2021
Puri Jaya Hotel,Jakarta Pusat,Free Wifi,8.0,Sangat Baik,262,461.538,35,249.000,199,1,08-12-2021
Horison Suite & Residences Rasuna ,Jakarta Selatan,Free Wifi,,,,916.084,5,652.710,522,1,08-12-2021
d'primahotel WTC Mangga Dua,Jakarta Utara,Free Wifi,8.9,Luar Biasa,66,470.000,21,314.500,251,1,08-12-2021
Graha Kasih,Jakarta Barat,Free Wifi,5.3,,5.3,310.000,5,117.800,94,1,08-12-2021
Yellow Bee Tanah Abang,Jakarta Pusat,Free Wifi,7.0,Baik,4,278.641,5,185.296,148,1,08-12-2021
LeGreen Home Setiabudi,Jakarta Selatan,Free Wifi,7.9,Sangat Baik,108,500.000,10,223.200,178,1,08-12-2021
RedDoorz near Transmart Kalimalang,Jakarta Timur,Free Wifi,,,,273.684,5,247.000,197,1,08-12-2021
Plaza 68 Residence,Jakarta Selatan,Free Wifi,8.7,Luar Biasa,6,495.000,35,225.225,180,1,08-12-2021
The Kartini 8 Residence Mangga Besar,Jakarta Pusat,Free Wifi,7.9,Sangat Baik,3,338.000,12,178.800,143,1,08-12-2021
Nusalink Near Tanah Abang Eco 1,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,3,365.538,35,130.680,104,1,08-12-2021
Bobobox Pods Kota Tua,Jakarta Barat,Free Wifi,9.2,Istimewa,4,184.863,5,131.715,105,1,08-12-2021
Kamargue Residence ,Jakarta Pusat,Free Wifi,6.9,Baik,20,268.421,5,137.700,110,1,08-12-2021
Collection O 38 Grand Palace 2,Jakarta Pusat,Free Wifi,,,,705.301,5,522.628,418,1,08-12-2021
LeGreen Suite Tondano,Jakarta Pusat,Free Wifi,7.7,Sangat Baik,59,631.578,5,360.000,288,1,08-12-2021
Anggrek Residence,Jakarta Selatan,Free Wifi,6.2,,6.2,249.811,5,166.125,132,1,08-12-2021
De 80's Genteng Ijo,Jakarta Selatan,Free Wifi,7.6,Sangat Baik,1,487.384,35,190.080,152,1,08-12-2021
City Icon Residence,Jakarta Pusat,Free Wifi,7.3,Sangat Baik,52,319.869,5,188.403,150,1,08-12-2021
LeGreen Suite Pejompongan,Jakarta Pusat,Free Wifi,7.6,Sangat Baik,46,500.000,11,220.720,176,1,08-12-2021
Kemang Eleven,Jakarta Selatan,Free Wifi,7.8,Sangat Baik,2,361.263,5,257.400,205,1,08-12-2021
Nusalink Near Kebayoran Lama,Jakarta Selatan,Free Wifi,,,,284.210,5,148.500,118,1,08-12-2021
LeGreen Suite Poso,Jakarta Pusat,Free Wifi,7.8,Sangat Baik,65,673.684,5,384.000,307,1,08-12-2021
LeGreen Suite Gatot Subroto,Jakarta Pusat,Free Wifi,8.3,Luar Biasa,68,500.000,12,218.240,174,1,08-12-2021
Saffron Suites Syariah,Jakarta Selatan,Free Wifi,9.5,Istimewa,18,222.589,5,211.460,169,1,08-12-2021
