name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date
"Transera Kamini Legian HotelBadung, 
 
 
 ",Badung,Free Wifi,8.6,Luar Biasa,17,1.184.615,35,246.400,197,1,08-12-2021
"Permata Kuta HotelBadung, 
 
 
 ",Badung,Free Wifi,8.7,Luar Biasa,52,1.052.631,5,220.000,176,1,08-12-2021
HARRIS Hotel Kuta Tuban ,Badung,Free Wifi,8.9,Luar Biasa,22,642.105,5,250.100,200,1,08-12-2021
HARRIS Hotel and Conventions Denpasar ,Denpasar,Free Wifi,8.6,Luar Biasa,54,278.947,5,265.000,212,1,08-12-2021
"Swandewi HomestayBadung, 
 
 
 ",Badung,No,6.9,Baik,12,83.076,35,54.000,43,1,08-12-2021
"Nirmala Hotel JimbaranBadung, 
 
 
 ",Badung,Free Wifi,7.9,Sangat Baik,20,700.000,20,196.196,156,1,08-12-2021
"Villa Gajah Mas Bedugul by eCommerceLokaTabanan, 
 
 
 ",Tabanan,Free Wifi,,,,955.263,5,363.000,290,1,08-12-2021
HARRIS Hotel Seminyak ,Badung,Free Wifi,8.3,Luar Biasa,32,584.210,5,360.750,288,1,08-12-2021
"Amatara Athaya UbudGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,620.631,5,265.320,212,1,08-12-2021
"Amatara Agung RakaGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,571.263,5,260.496,208,1,08-12-2021
"The Aveda Boutique HotelBadung, 
 
 
 ",Badung,Free Wifi,8.6,Luar Biasa,2,810.526,5,292.600,234,1,08-12-2021
"Kuta Majesty HotelBadung, 
 
 
 ",Badung,Free Wifi,9.6,Istimewa,5,460.000,33,198.900,159,1,08-12-2021
"The Vasini HotelDenpasar, 
 
 
 ",Denpasar,Free Wifi,8.0,Sangat Baik,10,650.000,5,247.047,197,1,08-12-2021
"J4 Hotels LegianBadung, 
 
 
 ",Badung,Free Wifi,8.8,Luar Biasa,45,1.069.600,35,312.858,250,1,08-12-2021
"Sri KrisnaBadung, 
 
 
 ",Badung,Free Wifi,10I,stimewa,1,300.000,20,239.200,191,1,08-12-2021
HOTEL & RESIDENCES Riverview Kuta - ,Badung,Free Wifi,8.4,Luar Biasa,89,576.842,5,383.600,306,1,08-12-2021
"Loft Legian HotelBadung, 
 
 
 ",Badung,Free Wifi,7.7,Sangat Baik,17,1.461.538,35,361.000,288,1,08-12-2021
"Blanjong Homestay by eCommerceLokaDenpasar, 
 
 
 ",Denpasar,Free Wifi,9.5,Istimewa,3,560.000,31,153.720,122,1,08-12-2021
"The Rinaya Canggu by eCommerceLokaBadung, 
 
 
 ",Badung,Free Wifi,,,,774.712,35,201.425,161,1,08-12-2021
"Losari Sunset HotelBadung, 
 
 
 ",Badung,No,8.4,Luar Biasa,86,343.076,35,178.400,142,1,08-12-2021
"The Legian Sunset ResidenceBadung, 
 
 
 ",Badung,Free Wifi,7.2,Sangat Baik,18,761.538,35,311.850,249,1,08-12-2021
Villa Atap Padi by Nagisa ,Gianyar,Free Wifi,,,,9.473.684,5,3.780.000,3024,1,08-12-2021
Lloyd's Inn ,Badung,Free Wifi,8.6,Luar Biasa,5,554.210,5,447.525,358,1,08-12-2021
"Pradja Slumbung VillasKlungkung, 
 
 
 ",Klungkung,Free Wifi,10I,stimewa,1,618.947,5,264.600,211,1,08-12-2021
"Bhanuswari Resort & SpaGianyar, 
 
 
 ",Gianyar,Free Wifi,6.8,Baik,5,1.135.786,5,323.699,258,1,08-12-2021
Villa ,Badung,Free Wifi,,,,7.692.308,35,2.100.000,1680,1,08-12-2021
"Adiwana Arya VillasGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,904.000,5,360.696,288,1,08-12-2021
"Hotel Neo+ Kuta Legian by ASTONBadung, 
 
 
 ",Badung,Free Wifi,9.0,Luar Biasa,33,500.000,27,364.800,291,1,08-12-2021
"Agata VillasBadung, 
 
 
 ",Badung,Free Wifi,,,,4.230.769,35,1.787.500,1430,1,08-12-2021
"Amatara Royal GaneshaGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,916.842,5,348.400,278,1,08-12-2021
"Maharaja VillasBadung, 
 
 
 ",Badung,Free Wifi,,,,3.000.000,8,1.787.500,1430,1,08-12-2021
Lidwina Villa by Nagisa ,Badung,Free Wifi,,,,4.923.077,35,1.344.000,1075,1,08-12-2021
Villa La Sirena by Nagisa ,Badung,Free Wifi,,,,4.923.077,35,1.344.000,1075,1,08-12-2021
Villa Kaja by Nagisa ,Badung,Free Wifi,,,,7.894.737,5,3.150.000,2520,1,08-12-2021
"The Awandari Villas SeminyakBadung, 
 
 
 ",Badung,Free Wifi,,,,1.406.202,5,868.330,694,1,08-12-2021
"Hotel Wirton SeminyakBadung, 
 
 
 ",Badung,Free Wifi,9.2,Istimewa,3,173.684,5,165.000,132,1,08-12-2021
Villa ,Badung,Free Wifi,,,,2.042.105,5,1.261.000,1008,1,08-12-2021
"Lavender Villa & SpaBadung, 
 
 
 ",Badung,Free Wifi,,,,1.715.000,5,651.700,521,1,08-12-2021
"The Joglo Beratan by eCommerceLokaTabanan, 
 
 
 ",Tabanan,Free Wifi,,,,1.410.315,5,535.920,428,1,08-12-2021
"Menjangan Dynasty ResortBuleleng, 
 
 
 ",Buleleng,Free Wifi,,,,2.887.615,35,1.501.560,1201,1,08-12-2021
"Tijili BenoaBadung, 
 
 
 ",Badung,Free Wifi,9.4,Istimewa,5,2.631.579,5,750.000,600,1,08-12-2021
"Rivavi Kuta Beach HotelBadung, 
 
 
 ",Badung,No,8.4,Luar Biasa,91,750.000,5,249.375,199,1,08-12-2021
"Alam Puisi VillaGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,1.511.519,5,502.580,402,1,08-12-2021
"Adiwana BismaGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,1.302.703,5,457.900,366,1,08-12-2021
"Yan's House HotelBadung, 
 
 
 ",Badung,Free Wifi,9.5,Istimewa,12,1.710.136,5,487.389,389,1,08-12-2021
"Kompyang CottageKlungkung, 
 
 
 ",Klungkung,Free Wifi,10I,stimewa,1,1.101.579,5,460.460,368,1,08-12-2021
"The One LegianBadung, 
 
 
 ",Badung,Free Wifi,9.1,Istimewa,14,653.052,5,465.300,372,1,08-12-2021
"DevinSky Hotel SeminyakBadung, 
 
 
 ",Badung,Free Wifi,9.0,Luar Biasa,8,1.392.161,5,529.021,423,1,08-12-2021
"RedDoorz @ Imam Bonjol KutaDenpasar, 
 
 
 ",Denpasar,Free Wifi,7.0,Baik,2,192.673,5,100.672,80,1,08-12-2021
"Cara Cara InnBadung, 
 
 
 ",Badung,Free Wifi,9.0,Luar Biasa,42,265.263,5,214.200,171,1,08-12-2021
"The Yani HotelDenpasar, 
 
 
 ",Denpasar,Free Wifi,8.2,Luar Biasa,23,350.000,17,291.000,232,1,08-12-2021
"RedDoorz @ Taman Griya Jimbaran 2Badung, 
 
 
 ",Badung,Free Wifi,9.2,Istimewa,7,176.494,5,167.670,134,1,08-12-2021
,Badung,Free Wifi,8.5,Luar Biasa,22,1.366.315,5,359.546,287,1,08-12-2021
Daun ,Badung,Free Wifi,9.2,Istimewa,18,1.615.384,35,577.500,462,1,08-12-2021
"Mega Boutique Hotel and SpaBadung, 
 
 
 ",Badung,Free Wifi,8.7,Luar Biasa,109,1.300.000,28,243.931,195,1,08-12-2021
"Villa Mandi UbudGianyar, 
 
 
 ",Gianyar,Free Wifi,8.4,Luar Biasa,69,397.894,5,189.000,151,1,08-12-2021
"The Jimbaran VillaBadung, 
 
 
 ",Badung,Free Wifi,8.8,Luar Biasa,1,2.107.368,5,2.002.000,1601,1,08-12-2021
"Liberta Seminyak HotelBadung, 
 
 
 ",Badung,Free Wifi,8.8,Luar Biasa,46,315.789,5,240.000,192,1,08-12-2021
"OYO 1486 Tantular ResidenceDenpasar, 
 
 
 ",Denpasar,Free Wifi,,,,195.507,5,144.871,115,1,08-12-2021
"Jimbaran 5 Guesthouse RedPartnerBadung, 
 
 
 ",Badung,Free Wifi,,,,338.947,5,177.100,141,1,08-12-2021
"RedDoorz near Legian StreetBadung, 
 
 
 ",Badung,Free Wifi,9.0,Luar Biasa,5,257.894,5,134.750,107,1,08-12-2021
"Mansu Hotel & Spa LegianDenpasar, 
 
 
 ",Denpasar,Free Wifi,,,,148.256,5,140.844,112,1,08-12-2021
"Double-Six Luxury Hotel SeminyakBadung, 
 
 
 ",Badung,No,9.4,Istimewa,3,1.784.598,11,1.593.386,318,1,08-12-2021
"RedDoorz @ Kerta Dalem SidakaryaDenpasar, 
 
 
 ",Denpasar,Free Wifi,,,,253.157,5,132.275,105,1,08-12-2021
"Aleesha VillasDenpasar, 
 
 
 ",Denpasar,Free Wifi,,,,833.684,5,435.600,348,1,08-12-2021
"Sanur Art VillasDenpasar, 
 
 
 ",Denpasar,Free Wifi,,,,568.421,5,297.000,237,1,08-12-2021
"OYO 2136 Escotel KrisnantaraBadung, 
 
 
 ",Badung,Free Wifi,,,,200.238,5,148.377,118,1,08-12-2021
"Taman Agung HotelDenpasar, 
 
 
 ",Denpasar,Free Wifi,,,,450.000,17,375.000,300,1,08-12-2021
Grand Zuri Kuta ,Badung,Free Wifi,8.3,Luar Biasa,71,407.116,5,255.262,204,1,08-12-2021
"Kaen ApartmentsBadung, 
 
 
 ",Badung,Free Wifi,,,,183.333,18,150.000,120,1,08-12-2021
"Aksari Resort UbudGianyar, 
 
 
 ",Gianyar,Free Wifi,9.6,Istimewa,2,1.901.052,5,1.173.900,939,1,08-12-2021
"OYO 1952 Hotel Dewata IndahDenpasar, 
 
 
 ",Denpasar,Free Wifi,,,,133.077,5,98.611,78,1,08-12-2021
OYO 3904 Kiki Residence ,Denpasar,Free Wifi,8.4,Luar Biasa,2,184.622,5,131.543,105,1,08-12-2021
"Suris Boutique HotelBadung, 
 
 
 ",Badung,Free Wifi,10I,stimewa,2,210.000,5,199.500,159,1,08-12-2021
"The Capella Guest HouseBadung, 
 
 
 ",Badung,Free Wifi,8.3,Luar Biasa,8,180.000,5,171.000,136,1,08-12-2021
"Manca VillaBadung, 
 
 
 ",Badung,Free Wifi,,,,1.923.157,5,1.187.550,950,1,08-12-2021
"Lembayung Sari HomestayDenpasar, 
 
 
 ",Denpasar,Free Wifi,9.6,Istimewa,4,261.346,5,163.864,131,1,08-12-2021
"Padmasari Resort LovinaBuleleng, 
 
 
 ",Buleleng,Free Wifi,8.5,Luar Biasa,9,1.368.421,5,780.000,624,1,08-12-2021
The Decks ,Badung,Free Wifi,,,,1.435.789,5,736.560,589,1,08-12-2021
"RedDoorz near Penimbangan Beach SingarajaBuleleng, 
 
 
 ",Buleleng,Free Wifi,,,,470.652,5,245.916,196,1,08-12-2021
"OYO 3716 DijobiBadung, 
 
 
 ",Badung,Free Wifi,,,,238.721,5,176.892,141,1,08-12-2021
"Aston Canggu Beach ResortBadung, 
 
 
 ",Badung,Free Wifi,8.8,Luar Biasa,1,800.000,26,592.800,474,1,08-12-2021
,Denpasar,Free Wifi,9.5,Istimewa,3,431.307,35,280.350,224,1,08-12-2021
"Jambuluwuk Oceano Seminyak HotelBadung, 
 
 
 ",Badung,Free Wifi,9.5,Istimewa,3,852.631,5,567.000,453,1,08-12-2021
"RedDoorz near Mertasari Beach 2Denpasar, 
 
 
 ",Denpasar,Free Wifi,10I,stimewa,1,225.789,5,117.975,94,1,08-12-2021
OYO 1684 Marina Suite Apartment ,Denpasar,Free Wifi,,,,217.229,5,160.967,128,1,08-12-2021
"Ginanthi CottageKlungkung, 
 
 
 ",Klungkung,Free Wifi,,,,146.675,16,122.850,98,1,08-12-2021
"Kira CottagesKlungkung, 
 
 
 ",Klungkung,Free Wifi,10I,stimewa,1,335.263,5,159.250,127,1,08-12-2021
"OYO 3244 Grand Chandra HotelDenpasar Barat, 
 
 
 ",Denpasar Barat,Free Wifi,,,,107.382,5,102.013,81,1,08-12-2021
"RedDoorz near Exit Toll Nusa DuaBadung, 
 
 
 ",Badung,Free Wifi,8.0,Sangat Baik,2,125.894,5,119.600,95,1,08-12-2021
"Allamanda Villa JimbaranBadung, 
 
 
 ",Badung,Free Wifi,,,,1.200.000,9,1.087.500,870,1,08-12-2021
"OYO 3018 Vin StayRenon, 
 
 
 ",Renon,Free Wifi,,,,189.771,5,180.283,144,1,08-12-2021
"Matahari Guest HouseDenpasar, 
 
 
 ",Denpasar,Free Wifi,9.2,Istimewa,2,200.000,18,115.500,92,1,08-12-2021
"Sekar Waru HomestayDenpasar, 
 
 
 ",Denpasar,Free Wifi,9.6,Istimewa,1,182.588,5,147.440,117,1,08-12-2021
"Bellevue Hills Nusa DuaBadung, 
 
 
 ",Badung,Free Wifi,6.4,,6.4,969.230,35,630.000,504,1,08-12-2021
Whiz Prime Hotel Khatib Sulaiman ,Padang Utara,Free Wifi,8.6,Luar Biasa,85,690.000,22,428.000,342,1,08-12-2021
Mocca Guest House,Padang Barat,Free Wifi,8.5,Luar Biasa,4,544.673,5,413.952,331,1,08-12-2021
Fafan Budget Hotel,Padang Utara,Free Wifi,4.0,,4.0,186.923,35,103.275,82,1,08-12-2021
favehotel Olo ,Padang Barat,Free Wifi,8.1,Luar Biasa,143,523.400,31,358.986,287,1,08-12-2021
Hotel Pangeran City,Padang Barat,Free Wifi,7.9,Sangat Baik,120,426.315,5,405.000,324,1,08-12-2021
Kyriad Hotel BumiMinang,Padang Barat,Free Wifi,8.2,Luar Biasa,71,1.000.000,35,650.000,520,1,08-12-2021
Daima Hotel ,Padang Timur,Free Wifi,8.6,Luar Biasa,111,417.557,5,396.680,317,1,08-12-2021
Deivan Hotel,Padang Barat,Free Wifi,8.5,Luar Biasa,44,461.538,35,300.000,240,1,08-12-2021
Rocky Plaza Hotel ,Padang Barat,Free Wifi,8.8,Luar Biasa,96,1.101.579,5,837.200,669,1,08-12-2021
RedDoorz Plus Syariah @ Jalan Dr Sutomo ,Padang Timur,Free Wifi,6.5,Baik,10,427.001,5,223.108,178,1,08-12-2021
RedDoorz Plus Syariah near RSUP Dr. M. Djamil ,Sawahan,Free Wifi,7.4,Sangat Baik,4,290.747,5,248.589,198,1,08-12-2021
Polamas Residence,Padang Timur,Free Wifi,9.3,Istimewa,9,207.368,5,197.000,157,1,08-12-2021
SPOT ON 2182 Al-ghani 2,Padang Timur,Free Wifi,8.4,Luar Biasa,1,180.822,5,133.989,107,1,08-12-2021
Truntum ,Padang Barat,Free Wifi,8.7,Luar Biasa,103,3.333.333,21,2.639.656,2111,1,08-12-2021
Hotel Putra Mahkota Syariah RedPartner,Padang Barat,Free Wifi,,,,411.483,5,215.000,172,1,08-12-2021
Wisma Mutiara ,Padang Barat,Free Wifi,6.0,,6.0,200.000,5,133.000,106,1,08-12-2021
Guest House RangkayoBasa,Padang Timur,Free Wifi,8.1,Luar Biasa,4,300.000,27,220.000,176,1,08-12-2021
ibis ,Padang Utara,No,8.5,Luar Biasa,45,725.596,5,689.317,137,1,08-12-2021
RedDoorz near Universitas Negeri ,Ulak Karang Selatan,Free Wifi,9.8,Istimewa,3,280.800,5,240.084,192,1,08-12-2021
OYO 721 Sulaiman Residence Syariah,Padang Utara,Free Wifi,7.8,Sangat Baik,4,251.569,5,186.413,149,1,08-12-2021
OYO 3092 Falah Residence Syariah,Padang Timur,Free Wifi,8.8,Luar Biasa,1,240.167,5,177.964,142,1,08-12-2021
"OYO 3907 Mine ResidenceNanggalo, 
 
 
 ",Nanggalo,Free Wifi,,,,212.507,5,157.468,125,1,08-12-2021
OYO 1649 Grya Lavinsa,Padang Barat,Free Wifi,9.2,Istimewa,1,332.235,5,246.187,196,1,08-12-2021
"OYO 1326 Mahakam Guest HouseKoto Tangah, 
 
 
 ",Koto Tangah,Free Wifi,10I,stimewa,2,361.287,5,267.714,214,1,08-12-2021
OYO 3305 Bumi Siliwangi Residence,Padang Utara,Free Wifi,8.4,Luar Biasa,2,227.223,5,168.372,134,1,08-12-2021
"OYO 3315 Tanjung Residence SyariahUlak Karang Selatan, 
 
 
 ",Ulak Karang Selatan,Free Wifi,,,,262.970,5,194.861,155,1,08-12-2021
RedDoorz near Jembatan Siti Nurbaya ,Padang Selatan,Free Wifi,8.4,Luar Biasa,5,383.684,5,200.475,160,1,08-12-2021
OYO 1673 M Authentic Kost Man,Padang Barat,Free Wifi,,,,262.194,5,194.286,155,1,08-12-2021
Homestay Pondok Minang,Padang Barat,Free Wifi,,,,270.000,5,256.500,205,1,08-12-2021
OYO 897 d'Dhave Hotel,Padang Barat,Free Wifi,8.5,Luar Biasa,5,360.843,5,267.385,213,1,08-12-2021
Asokatama Residence Syariah RedPartner,Padang Barat,Free Wifi,5.6,,5.6,307.073,5,175.032,140,1,08-12-2021
"New d'Dhave HotelNanggalo, 
 
 
 ",Nanggalo,Free Wifi,7.9,Sangat Baik,34,445.000,13,389.050,311,1,08-12-2021
OYO 1191 Monalisa Residence And Cafe,Padang Utara,Free Wifi,4.1,,4.1,275.017,5,203.788,163,1,08-12-2021
360 Homestay,Padang Barat,Free Wifi,,,,323.886,5,200.000,160,1,08-12-2021
OYO 3160 Guesthouse Pagi Sore Syariah,Padang Barat,Free Wifi,,,,226.850,5,168.096,134,1,08-12-2021
SPOT ON 2946 Harland Guesthouse,Padang Selatan,Free Wifi,,,,193.525,5,143.402,114,1,08-12-2021
Grand Sari Hotel,Padang Selatan,Free Wifi,8.1,Luar Biasa,31,315.789,5,300.000,240,1,08-12-2021
The ZHM Premiere (d/h Grand Zuri) ,Padang Selatan,Free Wifi,8.5,Luar Biasa,61,2.315.789,5,2.200.000,1760,1,08-12-2021
Plan B Hotel,Padang Barat,No,8.2,Luar Biasa,2,538.461,35,350.000,70,1,08-12-2021
OYO 1305 Hotel Al-Ghani,Padang Timur,Free Wifi,,,,267.700,5,198.366,158,1,08-12-2021
OYO 3252 Lansano Residence Syariah,Padang Utara,Free Wifi,,,,236.118,5,174.964,139,1,08-12-2021
RedDoorz Syariah near Plaza Andalas ,Padang Barat,Free Wifi,,,,315.948,5,165.083,132,1,08-12-2021
Rangkayo Basa - Halal Hotel,Padang Barat,Free Wifi,8.2,Luar Biasa,14,357.894,5,340.000,272,1,08-12-2021
HW Hotel ,Padang Barat,No,7.2,Sangat Baik,8,733.333,22,570.000,114,1,08-12-2021
Hotel Pangeran Beach,Padang Barat,Free Wifi,8.0,Sangat Baik,35,1.038.461,35,675.000,540,1,08-12-2021
OYO 1306 Cendrawasih Homestay,Padang Barat,Free Wifi,9.6,Istimewa,4,270.735,5,200.615,160,1,08-12-2021
Hotel ,Padang Timur,Free Wifi,8.7,Luar Biasa,18,350.000,5,332.500,266,1,08-12-2021
"OYO 3073 Twin House SyariahNanggalo, 
 
 
 ",Nanggalo,Free Wifi,,,,159.556,5,118.232,94,1,08-12-2021
OYO 3606 Cendrawasih Resident,Padang Barat,Free Wifi,,,,308.831,5,228.844,183,1,08-12-2021
Mariani International Hotel Bundo Kandung,Padang Barat,Free Wifi,7.7,Sangat Baik,17,347.715,5,330.330,264,1,08-12-2021
OYO 4010 Zaara Guest House Syariah,Padang Timur,Free Wifi,,,,349.145,5,331.688,265,1,08-12-2021
OYO 1995 Dream Syariah,Padang Barat,Free Wifi,,,,270.767,5,200.639,160,1,08-12-2021
Hotel Asoka ,Padang Timur,Free Wifi,,,,191.578,5,182.000,145,1,08-12-2021
Oxville Hotel,Padang Barat,No,7.6,Sangat Baik,1,623.076,35,405.000,81,1,08-12-2021
The Abidin hotel Syariah,Padang Selatan,Free Wifi,6.7,Baik,3,307.692,35,200.000,160,1,08-12-2021
"Cavery Beach HotelBungus Teluk Kabung, 
 
 
 ",Bungus Teluk Kabung,Free Wifi,7.4,Sangat Baik,3,455.000,35,295.750,236,1,08-12-2021
Hotel Mongonsidi,Padang Barat,Free Wifi,4.8,,4.8,359.000,19,289.000,231,1,08-12-2021
Bunda Hotel ,Padang Barat,Free Wifi,8.4,Luar Biasa,2,630.000,35,409.500,327,1,08-12-2021
Garuda Hotel Syariah,Padang Barat,No,,,,333.333,25,250.000,50,1,08-12-2021
"OYO 2202 Delima Guest House SyariahKoto Tangah, 
 
 
 ",Koto Tangah,Free Wifi,,,,267.520,5,198.232,158,1,08-12-2021
The Sriwijaya Hotel Syariah,Padang Barat,Free Wifi,7.4,Sangat Baik,20,502.153,35,326.400,261,1,08-12-2021
Hotel Savali,Padang Barat,No,,,,668.197,31,460.000,92,1,08-12-2021
Ion Hotel ,Padang Utara,Free Wifi,7.8,Sangat Baik,25,400.000,14,343.373,274,1,08-12-2021
Hotel Djakarta Syariah,Padang Barat,No,2.0,,2.0,366.667,25,275.000,55,1,08-12-2021
Hotel Musafir Inn,Padang Timur,Free Wifi,9.1,Istimewa,13,276.923,35,180.000,144,1,08-12-2021
Jesnic Hotel,Padang Selatan,No,,,,266.667,25,200.000,40,1,08-12-2021
Batang Arau Homestay,Padang Barat,No,,,,133.333,25,100.000,20,1,08-12-2021
"OYO 3266 Alifah Residence SyariahNanggalo, 
 
 
 ",Nanggalo,Free Wifi,,,,224.936,5,166.678,133,1,08-12-2021
OYO 3414 Gurita Residence Syariah,Padang Barat,Free Wifi,,,,229.215,5,169.849,135,1,08-12-2021
Wisma Rumah KIta,Padang Barat,Free Wifi,,,,446.333,5,254.410,203,1,08-12-2021
"Uncle Jack Beach Homestay 1Koto Tangah, 
 
 
 ",Koto Tangah,No,,,,526.315,5,500.000,400,1,08-12-2021
Guest House Arini Syariah,Padang Utara,No,,,,280.789,5,266.750,213,1,08-12-2021
Lestari Guesthouse,Padang Barat,Free Wifi,,,,356.036,5,202.941,162,1,08-12-2021
Febbycell Guesthouse,Padang Barat,No,,,,160.000,25,120.000,24,1,08-12-2021
"Grace Hill Villa Lubuk MinturunKoto Tangah, 
 
 
 ",Koto Tangah,No,,,,2.333.333,25,1.750.000,350,1,08-12-2021
"DNA KostNanggalo, 
 
 
 ",Nanggalo,No,,,,533.333,25,400.000,80,1,08-12-2021
Hotel Alifa Syariah,Padang Barat,No,,,,540.000,35,350.000,70,1,08-12-2021
Wisma Tatar Pasundan,Padang Utara,No,,,,240.000,25,180.000,36,1,08-12-2021
Rumah Tamu Agung,Padang Timur,No,,,,239.999,25,179.999,35,1,08-12-2021
Hotel Femina,Padang Barat,No,10I,stimewa,1,306.667,25,230.000,46,1,08-12-2021
Balinda Guest House,Padang Utara,No,,,,278.461,35,181.000,36,1,08-12-2021
"Villa Rumah Kayu Lubuk MinturunKoto Tangah, 
 
 
 ",Koto Tangah,No,,,,1.133.333,25,850.000,170,1,08-12-2021
Nagari Koto Gadang,Padang Barat,No,,,,369.230,35,240.000,48,1,08-12-2021
OYO 90468 Monalisa Guesthouse,Padang Barat,No,,,,170.271,5,161.758,32,1,08-12-2021
Roemah Proklamasi Syariah,Padang Barat,Free Wifi,,,,230.000,5,207.575,166,1,08-12-2021
Janevalla ,Bandung Wetan,Free Wifi,9.4,Istimewa,168,2.923.975,5,1.805.555,1444,1,08-12-2021
Travello Hotel ,Cidadap,Free Wifi,8.9,Luar Biasa,113,1.084.736,5,669.825,535,1,08-12-2021
DBest Hotel Pasar Baru ,Astana Anyar,Free Wifi,8.6,Luar Biasa,95,622.769,35,242.880,194,1,08-12-2021
Kimaya Braga ,Sumurbandung,Free Wifi,8.4,Luar Biasa,1,789.473,5,637.500,510,1,08-12-2021
"Hotel Nyland PasteurCicendo, 
 
 
 ",Cicendo,Free Wifi,8.2,Luar Biasa,137,575.822,5,355.570,284,1,08-12-2021
"Namin Dago HotelCoblong, 
 
 
 ",Coblong,Free Wifi,8.3,Luar Biasa,41,684.210,5,422.500,338,1,08-12-2021
"Apartment Tamansari Panoramic By NarelArcamanik, 
 
 
 ",Arcamanik,Free Wifi,7.9,Sangat Baik,34,192.307,35,125.000,100,1,08-12-2021
"Grand Viveana HotelCicendo, 
 
 
 ",Cicendo,Free Wifi,8.9,Luar Biasa,97,1.368.421,5,416.000,332,1,08-12-2021
"Kedaton HotelSumurbandung, 
 
 
 ",Sumurbandung,Free Wifi,8.8,Luar Biasa,105,691.727,5,459.999,367,1,08-12-2021
"The Suites Metro Apartment By YudisBuahbatu, 
 
 
 ",Buahbatu,No,8.5,Luar Biasa,280,370.769,35,132.550,106,1,08-12-2021
"The Papandayan HotelLengkong, 
 
 
 ",Lengkong,Free Wifi,9.7,Istimewa,41,1.604.842,5,1.372.140,1097,1,08-12-2021
Mitra Hotel ,Cibeunying Kaler,Free Wifi,8.6,Luar Biasa,166,682.895,35,443.882,355,1,08-12-2021
eL Hotel Royale ,Sumurbandung,Free Wifi,9.1,Istimewa,1082,3.000.000,19,2.420.500,1936,1,08-12-2021
"The Suites Metro Apartment By FarisBuahbatu, 
 
 
 ",Buahbatu,Free Wifi,7.8,Sangat Baik,30,246.153,35,160.000,128,1,08-12-2021
"Grand Setiabudi HotelSetiabudi, 
 
 
 ",Setiabudi,Free Wifi,9.0,Luar Biasa,254,850.000,18,490.560,392,1,08-12-2021
De Batara Hotel,Bandung Wetan,Free Wifi,8.5,Luar Biasa,115,600.000,33,260.000,208,1,08-12-2021
"Smart Room Near Pasteur by Asoka InnSukasari, 
 
 
 ",Sukasari,Free Wifi,8.8,Luar Biasa,58,321.366,35,125.333,100,1,08-12-2021
Grand Dafam Braga ,Sumurbandung,Free Wifi,9.0,Luar Biasa,2,1.205.263,5,973.250,778,1,08-12-2021
Travelers Inn,Bandung Wetan,Free Wifi,8.6,Luar Biasa,25,508.828,5,290.032,232,1,08-12-2021
"Grand Amellia HotelSukasari, 
 
 
 ",Sukasari,Free Wifi,8.0,Sangat Baik,105,150.000,27,110.000,88,1,08-12-2021
"Dago's Hill HotelCoblong, 
 
 
 ",Coblong,Free Wifi,8.7,Luar Biasa,22,300.000,27,165.375,132,1,08-12-2021
"Hotel VictoryCicendo, 
 
 
 ",Cicendo,Free Wifi,8.4,Luar Biasa,31,426.315,5,263.250,210,1,08-12-2021
Wood Hotel ,Cidadap,Free Wifi,6.9,Baik,19,1.526.636,5,275.558,220,1,08-12-2021
"Asoka InnSukasari, 
 
 
 ",Sukasari,Free Wifi,8.3,Luar Biasa,26,362.392,35,141.333,113,1,08-12-2021
Grand Cordela Hotel ,Cinambo,Free Wifi,8.8,Luar Biasa,473,507.692,35,330.000,264,1,08-12-2021
"Gateway Pasteur Apartment by SMCicendo, 
 
 
 ",Cicendo,Free Wifi,9.2,Istimewa,2,514.458,35,200.639,160,1,08-12-2021
"Edy PropertyBuahbatu, 
 
 
 ",Buahbatu,Free Wifi,,,,263.684,5,157.815,126,1,08-12-2021
"Collection O 22 Hotel Pasar Baru HeritageAndir, 
 
 
 ",Andir,Free Wifi,7.9,Sangat Baik,12,289.857,5,214.785,171,1,08-12-2021
"Smart Room at Gateway Pasteur ApartmentCicendo, 
 
 
 ",Cicendo,No,7.6,Sangat Baik,10,526.495,35,205.333,164,1,08-12-2021
"OYO 295 Grha Ciumbuleuit Guest HouseCidadap, 
 
 
 ",Cidadap,Free Wifi,8.9,Luar Biasa,46,255.306,5,189.182,151,1,08-12-2021
Collection O 17 Hotel Btc ,Sukajadi,Free Wifi,8.6,Luar Biasa,24,263.411,5,250.241,200,1,08-12-2021
"RedDoorz Plus @ Karapitan StreetLengkong, 
 
 
 ",Lengkong,Free Wifi,9.3,Istimewa,8,322.294,5,290.871,232,1,08-12-2021
Panen Hotel ,Bandung Wetan,Free Wifi,,,,282.105,5,268.000,214,1,08-12-2021
"OYO 90266 Jarrdin Apartement By BedpackerCoblong, 
 
 
 ",Coblong,Free Wifi,,,,229.453,5,170.025,136,1,08-12-2021
Platinum 1012 Studio Tera Apartemen ,Sumurbandung,Free Wifi,,,,765.789,5,509.250,407,1,08-12-2021
